11635143,2,1
36845143,1,7
35755143,1,7
94475143,2,7
92675143,2,1
59596143,1,5
41106143,1,1
96416143,1,1
73716143,1,2
76226143,1,1
99926143,2,1
39446143,2,6
14946143,1,2
61056143,1,7
55466143,1,6
83666143,2,1
71866143,1,1
60397143,2,2
59497143,1,7
75227143,1,6
68927143,2,1
31437143,1,1
89637143,1,7
21957143,2,1
29587143,2,7
75987143,2,1
43328143,1,1
30438143,2,1
64038143,2,1
63899143,1,2
81099143,2,7
91619143,1,1
61429143,2,6
97829143,1,2
77639143,1,1
73039143,1,5
75549143,1,1
61759143,1,1
68869143,2,1
57969143,1,1
91379143,2,7
81320143,1,1
73120143,2,7
35250143,2,1
43450143,1,6
51650143,1,6
41460143,1,1
67860143,1,7
10991143,2,6
11601143,1,2
51741143,2,1
70841143,1,1
99371143,2,1
48471143,2,1
67571143,1,1
55392143,2,1
21792143,2,5
70032143,2,7
13252143,2,2
59462143,2,7
63062143,2,2
85293143,1,1
49893143,2,1
96713143,1,1
29223143,2,1
85623143,1,1
96853143,2,1
47373143,2,7
52873143,1,1
38894143,1,1
79504143,1,7
32824143,1,1
41924143,2,1
10834143,1,2
43864143,1,1
25474143,1,1
49495243,1,1
44995243,1,1
83095243,1,6
15415243,2,7
99015243,2,7
48925243,1,1
45745243,2,1
46265243,2,1
21575243,1,1
50675243,2,7
19726243,2,1
72236243,2,1
62946243,2,1
79056243,2,1
59486243,2,5
85697243,2,7
11807243,2,7
94127243,1,2
28057243,2,1
35167243,2,1
65977243,2,1
31187243,2,7
65598243,1,1
54408243,2,1
25118243,2,7
13938243,1,1
37248243,1,5
75258243,1,1
91468243,1,1
11088243,2,2
37009243,2,1
84119243,2,1
13359243,1,1
25910243,1,1
41260243,1,1
79460243,2,1
33870243,1,2
80980243,2,1
21211243,2,2
85811243,1,1
63821243,2,1
27561243,1,1
45571243,2,1
79792243,2,1
25192243,2,1
69502243,1,1
80212243,2,1
84432243,1,1
93532243,1,1
40542243,2,1
94142243,1,1
10162243,1,7
98172243,1,7
93623243,2,1
43433243,1,1
91633243,1,1
36133243,1,1
15753243,2,1
85373243,1,6
11773243,1,1
29783243,1,1
47983243,1,1
46894243,1,5
59254243,2,1
55654243,2,1
73474243,1,2
83284243,2,1
38784243,1,1
97495343,1,7
31425343,2,7
75835343,1,2
13035343,1,2
21755343,2,5
77775343,1,7
35975343,1,3
11996343,1,1
49906343,1,1
47106343,1,2
91516343,2,1
86346343,1,2
14546343,2,2
33456343,2,1
68956343,1,7
37056343,1,1
70566343,2,1
90186343,1,1
31897343,2,5
63837343,1,1
72937343,2,1
95347343,2,1
17767343,2,1
52218343,2,1
69518343,2,2
34828343,2,1
29468343,1,1
14778343,2,1
25488343,1,1
31888343,2,1
69899343,1,1
93639343,1,1
19559343,2,1
29989343,2,1
39790343,2,1
85190343,2,1
73100343,1,2
72010343,2,7
68220343,2,1
18740343,1,1
39260343,1,1
53670343,1,1
79070343,2,1
28980343,2,1
36991343,2,1
28311343,1,1
83811343,2,1
32911343,1,2
48931343,1,1
86131343,1,2
